,look_back,hidden_nodes,output_nodes,epochs,batch_size,future_steps,MSE,MAE,RMSE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,3,3,1,50,20,28,202.754,12.311,14.239,57.77426613519788,61.171312046223875,61.6621612707734,62.87402373774051,63.935817047268145,64.57994818597436,65.07869638684987,65.47846813580989,65.77471012871264,65.99686504029631,66.1664423907101,66.29483493427037,66.39180246384143,66.46524395574927,66.52085958473681,66.56294821676612,66.59480235783457,66.61892081872224,66.63717960630655,66.65099521970748,66.66145756575465,66.6693755300045,66.67537191635965,66.67991003016233,66.68334304679631,66.68594439236522,66.68791154127716,66.68940019450783
1,3,5,1,50,20,28,116.394,9.11,10.789,50.520531741461156,50.216309124159814,58.96644382149875,64.12194806970358,72.35834360027908,74.31323390858769,76.26594820082187,72.72839545081257,70.00930576605796,64.95507740734816,62.68495718227624,60.45840664729476,61.38368058184981,62.44628657451867,65.2230919526398,66.96869736415744,68.83034177597165,69.00803076745866,68.86070346622466,67.53102852687239,66.44304707275629,65.12666747769117,64.62672303761244,64.37783692681789,64.88686518967151,65.4505824708283,66.26968353032468,66.74790198792219
2,3,6,1,50,20,28,165.937,11.132,12.882,52.89679256212115,55.69836009174883,63.97839177014827,68.79987375334501,72.75160628893971,72.71334941994547,71.39129623323082,68.64134737461805,66.48359768295288,64.9791161189556,64.72716915483474,65.20149508804083,66.16414864950775,67.04644911478161,67.65333354204296,67.826473026973,67.67779378556013,67.3356048144996,66.98771566869615,66.73955489659309,66.647820438838,66.68846219106912,66.80970768008828,66.94427129890322,67.04544655240177,67.0896276536405,67.08103751688598,67.03863748290539
3,6,3,1,50,20,28,108.57,9.158,10.42,49.54999629279971,46.2055507284522,53.91676686813831,57.765015218693016,68.21089114069937,71.74918062215447,78.29136725351809,76.43148492103815,76.78158805876373,70.23841405535936,67.52662332853674,60.81713030245304,59.79066972164511,56.683869417166704,59.456140479069944,60.06101598398685,65.01337033360004,66.52082540647388,70.50089931722283,70.13964267302154,71.39913444820046,68.67792191355824,67.98417153221965,64.5551613501668,63.99213522943854,61.79776542781591,62.76940027726888,62.38215676047206
4,6,5,1,50,20,28,40.404,5.507,6.356,48.27723955401182,48.41789070121646,53.622921151226755,62.27735481351613,71.28339165951608,79.44956225248575,83.47851107925176,83.5724709216833,79.2697504111111,71.94366633108854,63.594034417778246,56.23164542733431,51.81910636032224,51.23728219497204,54.58429872421026,60.85458967864513,68.37393284772038,75.22195417112111,79.68312890630959,80.73184713146685,78.20876978472471,72.87408219542503,66.16273594797254,59.80755758112669,55.39613500403762,53.97015331486463,55.78875590087175,60.284435491299625
5,6,6,1,50,20,28,106.423,9.219,10.316,49.191720752644535,47.707818300527336,52.5493800132066,58.13374740851819,68.26478646378517,73.65385166943669,79.2550727459669,80.27797878742813,79.21387274877428,73.52570596888661,68.33263031573891,61.82707138950228,57.41504119884967,54.54545512836873,55.393550747600194,57.66530963050127,62.240749893897764,66.9398623029828,71.49481079894899,73.98449978037476,74.95709921635985,73.53934689338803,70.75301717265843,66.8730741795957,63.34785598492622,60.44407266357243,59.163730249202246,59.38982895257175
6,8,3,1,50,20,28,354.14,15.771,18.819,65.81733801777958,64.02525776382087,63.27349547750353,56.45094265637695,57.241704239511485,75.50169945577382,61.20278263123035,64.97365519205331,52.677709896618126,69.20629127565621,73.25018359850048,55.93320843043327,64.77828464586734,51.75490059458017,82.14427524058817,59.7998219009459,58.10360787697434,62.169522393912075,58.8947739028871,87.00990034917592,42.12927640025616,70.2510714054048,54.35994501104354,75.3330639063835,73.99461274862288,35.269322590803355,84.47952784208654,44.182328578546645
7,8,5,1,50,20,28,21.547,3.631,4.642,47.27588290733993,47.573087587982414,54.71781231083572,61.865085213071104,72.62555305759906,77.83438488996624,84.16044717436432,81.70138951171039,76.93619533000587,67.38008972252011,59.83334887810647,51.6445503762722,50.52040831995606,49.866185099717974,56.26645788694024,63.290220040839905,72.42137591232657,77.62581773669719,81.55973200454115,78.37950919607877,74.71447912043928,66.47056816959976,59.70519558238685,53.25325665434003,51.858891757187244,52.3431331842333,58.696528585028645,64.44321234866976
8,8,6,1,50,20,28,92.467,8.258,9.616,47.177278618732096,48.2595542017281,54.43140796128511,62.72341912084817,70.69189124816656,74.9656551748514,78.46917776771782,77.36639712574481,74.72068817154168,70.48244685281514,65.22652117168903,60.87930625913441,58.61669006157219,57.776764945977924,59.74857539323866,62.681414035683865,65.98004933492541,69.16612801910638,71.06079622809887,71.54225402550696,70.99611576426028,69.08800410517453,66.8924912305355,64.81581237858533,63.157209634196754,62.54739347149133,62.85463706747889,63.80715487518906
9,12,3,1,50,20,28,38.959,5.542,6.242,51.49854083695411,58.83271377254128,62.53456143254637,68.07719716879724,77.59308635354637,84.25124742626546,88.98533559110163,85.63243280546664,75.85120257510542,71.13086926231384,62.46522512977719,53.3672829347074,54.74584418283104,57.25242482132315,61.732150758123396,72.46858748621344,78.44239340232014,85.17424660754203,91.03623264003394,83.77660249593853,77.64864501876234,73.34462193661331,61.22692387762665,56.83783869416713,57.018611324489115,55.43981862167119,65.74593962647914,74.55049181481003
