look_back_lags,"[1, 2, 11, 12]"
hidden_nodes,4
output_nodes,1
epochs,30
batch_size,20
future_steps,28
MSE,50.632
MAE,5.237
RMSE,7.116
1,49.891900445002314
2,61.84627577569484
3,64.64121841868757
4,68.74504802199006
5,74.43727441999911
6,80.8756426788628
7,86.98046147202253
8,83.49135830853581
9,82.34174205356835
10,69.70056592167019
11,64.76544121416806
12,48.519806483745576
13,48.83391611300111
14,63.813944956761596
15,63.33988865207433
16,68.35986659372448
17,73.43738174225687
18,79.88670223560332
19,88.08308261543512
20,82.06086888623832
21,85.48757773191927
22,68.2256485551238
23,69.58890553661584
24,45.87558998035789
25,47.66605056441128
26,67.00910366613269
27,60.88056136090159
28,68.78082886571288
