look_back,8.0
hidden_nodes,5.0
output_nodes,1.0
epochs,50.0
batch_size,20.0
future_steps,28.0
MSE,21.547
MAE,3.631
RMSE,4.642
1,47.27588290733993
2,47.573087587982414
3,54.71781231083572
4,61.865085213071104
5,72.62555305759906
6,77.83438488996624
7,84.16044717436432
8,81.70138951171039
9,76.93619533000587
10,67.38008972252011
11,59.83334887810647
12,51.6445503762722
13,50.52040831995606
14,49.866185099717974
15,56.26645788694024
16,63.290220040839905
17,72.42137591232657
18,77.62581773669719
19,81.55973200454115
20,78.37950919607877
21,74.71447912043928
22,66.47056816959976
23,59.70519558238685
24,53.25325665434003
25,51.858891757187244
26,52.3431331842333
27,58.696528585028645
28,64.44321234866976
