look_back,12.0
hidden_nodes,5.0
output_nodes,1.0
epochs,30.0
batch_size,20.0
future_steps,28.0
MSE,16.442
MAE,3.587
RMSE,4.055
1,51.44892729069888
2,54.33176503324211
3,58.37611306625902
4,67.79824937694669
5,76.96598358495831
6,82.97030309470891
7,86.36890221790671
8,84.61438007734417
9,79.00576130567788
10,69.8428158520639
11,60.37776873224377
12,52.74012889872491
13,50.243545402145386
14,52.433378988757724
15,58.32626976612508
16,67.46122132359146
17,76.7728232331097
18,83.13904877405761
19,86.01409387264846
20,84.75617429756521
21,79.28441288591623
22,70.09612614911794
23,59.96217814391553
24,52.66989636594951
25,49.958677175635096
26,51.83877974823415
27,57.99166457185447
28,67.11872474816441
