seasonal_period,12.0
hidden_nodes,8.0
epochs,50.0
batch_size,20.0
future_steps,28.0
MSE,33.266
MAE,5.017
RMSE,5.768
1,53.722871683636306
2,60.05384614393711
3,66.63237566156982
4,69.45795342091917
5,83.14417171591519
6,82.02969451284407
7,86.50105437039136
8,79.7475473367989
9,69.66069128156303
10,59.45645188102126
11,57.18002766522765
12,48.692015560406446
13,49.098674229350685
14,56.02471123551726
15,62.27701682847142
16,64.67685875177384
17,81.43793586573004
18,80.55998363502025
19,89.67396303058266
20,81.43604466851353
21,72.10078760344982
22,61.00135493733286
23,58.15996783257722
24,47.38158108430206
25,47.19939955002963
26,57.12146890804171
27,64.32795185325145
28,67.04213885606526
