,look_back_lags,hidden_nodes,output_nodes,epochs,batch_size,future_steps,MSE,MAE,RMSE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,"[1, 2, 11, 12]",3,1,30,20,28,76.731,7.357,8.76,56.83473226982355,55.63967411547303,62.41587551566362,65.01236017605066,72.68470803559421,77.66126439296006,82.37341391056775,82.62084174880981,80.13215532976388,73.76717539662121,65.80573639630079,60.67481201553344,59.0227942831397,58.26071395899653,60.84640208587646,63.8785532664895,69.61804820215701,74.37953594112395,78.98617716100811,80.51193659248351,79.76603018188476,75.54368555301427,70.63814403088688,66.19247483432292,62.97720791358351,61.39712403194308,61.78688154985904,64.0066685863614
1,"[1, 2, 11, 12]",4,1,30,20,28,50.632,5.237,7.116,49.891900445002314,61.84627577569484,64.64121841868757,68.74504802199006,74.43727441999911,80.8756426788628,86.98046147202253,83.49135830853581,82.34174205356835,69.70056592167019,64.76544121416806,48.519806483745576,48.83391611300111,63.813944956761596,63.33988865207433,68.35986659372448,73.43738174225687,79.88670223560332,88.08308261543512,82.06086888623832,85.48757773191927,68.2256485551238,69.58890553661584,45.87558998035789,47.66605056441128,67.00910366613269,60.88056136090159,68.78082886571288
2,"[1, 2, 11, 12]",5,1,30,20,28,222.664,13.094,14.922,53.9251424413532,65.69193037585019,75.3633078715086,79.08826383485197,78.37909525933861,76.4476398466587,73.71341298900246,71.28733355250954,67.35123947100638,63.47665866764187,58.830072552332275,59.34994102091789,66.23502677169442,74.59473747498988,78.71688662723302,77.00036311990021,72.29637840955256,68.10601703963279,66.38934162890911,66.17748196964263,66.08626398341656,64.93540591822862,64.53966720429658,67.14802311468124,72.02612328924536,75.66864887752531,75.20611824262141,71.1440544766426
3,"[1, 2, 11, 12]",6,1,30,20,28,137.432,9.539,11.723,53.97315530562699,59.907665713304276,65.64857335050702,72.12799729834198,78.71570937595367,83.80362990676163,83.02063248569368,79.43534789268374,70.26279075201153,61.75835029546618,51.17619994270503,51.80511226043701,57.553865707778925,64.56603383536934,72.0363843632996,79.20873841416238,84.7253075285375,85.21503646557926,81.96846225597858,73.79052294780016,64.92874875212311,55.03792402282357,53.22666026938855,57.91508817371726,65.42791848490833,73.71573331329822,81.4769256685853,87.35079054624437
4,"[1, 2, 3, 12]",3,1,30,20,28,12862357326.457,46131.229,113412.333,55.729181289759275,53.556032391843196,73.50600789667367,59.24360295092165,95.0859960289359,51.0650541303873,128.20703416287895,10.477793443161254,186.95144767315384,-101.39734123246666,325.39402590670574,-356.9744166369914,690.5128745825766,-929.3529253352162,1597.2948802289957,-2302.633525500869,3758.9733404346457,-5629.782245677184,8932.94841816711,-13647.989852102659,21358.34052745666,-32933.87962675781,51232.47898359373,-79289.43197041014,123084.05642994383,-190705.7170252441,295858.34519248037,-458572.5745489257
5,"[1, 2, 3, 12]",4,1,30,20,28,115.698,9.332,10.756,51.12138370531201,55.48729222890734,61.59460983284711,66.35763939123153,69.85867076848744,72.24588952000737,73.83939406623243,73.8710279473841,72.80019638609885,69.90010241835117,66.48523444198965,62.209609698766464,59.96396300875842,59.822523862713574,61.60413417545556,64.11999231354594,66.51880888895988,68.27461841076016,69.2999738943994,69.5664845961213,69.23045150997638,68.29563424488902,66.99286519364713,65.40032903153896,64.06677296054959,63.3565866323173,63.47349907711148,64.25083809686899
6,"[1, 2, 3, 12]",5,1,30,20,28,72.263,7.482,8.501,50.87006524147093,58.04075405141115,64.2684285095334,68.30377246905564,71.80555576809644,75.61667513233422,79.14413010443448,79.59459961010216,77.69818071452974,72.1977247523427,66.04363609434962,58.58075731445849,55.58992005858123,58.118896953266855,62.84097335746884,66.90178012288808,69.8400777934432,72.31611445761322,74.62876383454798,75.73396733560561,75.18846327101588,72.43742070798874,68.38561421847939,63.47045721170902,60.04908017504811,59.93206709425747,62.46148071119189,65.70339528427719
7,"[1, 2, 3, 12]",6,1,30,20,28,141.741,9.133,11.905,55.00710852119028,61.820862338399884,67.46492776632904,70.70988420481682,76.4658036946237,81.1026395110309,85.57908053700326,81.1513587260723,79.58058272470831,66.13194513064026,63.563775262314074,47.3524650018543,62.04439197567105,58.95656250592172,73.55730567177534,67.4442916906774,81.45088183221816,76.3526508587539,88.74254080628155,74.39067045967577,83.44285555582641,57.90484039120972,71.4031333049655,38.02577908562124,77.86042872633337,44.605914981612564,93.01886050751804,48.29037919732332
8,"[1, 2, 12, 13]",3,1,30,20,28,240.151,13.953,15.497,61.48601979508101,69.02011088461875,70.63544394811392,70.34852502582669,69.50588273832797,68.0183953661859,65.96341971120833,63.48328545306921,62.521683822584144,62.22390001026391,64.21980803169608,66.46482242383956,71.52828650871514,71.909180463773,70.12993224875926,68.6763611062169,67.93822455406189,67.68614847205876,67.8014051698923,68.21702044252156,69.00359898602962,69.65333535985945,70.20709157615899,70.15246711679697,69.89597824128866,68.50503686680793,67.50266056862473,67.33618584496975
9,"[1, 2, 12, 13]",4,1,30,20,28,108.979,8.992,10.439,55.86862670379877,66.04397407939433,69.31880231969951,70.73577613779305,74.15620757584571,78.39038168128131,81.32604382800459,78.88904253770708,75.65162810257672,68.18266749067305,62.9379674701333,55.396433114442225,60.57255634916722,69.33713705897927,71.39398492324948,71.03905505527854,72.88981558913588,75.90845116554497,77.79842176217436,75.58900213209986,72.82649466064572,67.6613084700644,64.23725413613914,59.61660932240784,63.89268787701129,71.11472952703237,72.29460873504877,70.88716685473322
10,"[1, 2, 12, 13]",5,1,30,20,28,565.792,20.45,23.786,59.63786250558495,72.58251123179197,79.32311027474402,80.39998759098648,77.42478878920078,71.2231923457086,62.82148795000314,54.290610607066746,49.0228839312613,48.337771156486866,53.812519368559116,63.786249171018596,76.19017878944872,81.60163075733183,78.20748620107173,70.34726043009758,62.890641968703264,59.02371899503171,60.23101676510274,66.54034499220252,76.46073391895294,87.04612551031707,94.9967527867913,97.29203580856321,92.52623021571038,81.74446931336522,70.06955065088272,62.91212110817432
11,"[1, 2, 12, 13]",6,1,30,20,28,461.632,18.07,21.486,54.11453558910787,53.42150864766836,53.72524897170364,53.49283298606574,51.09564937210381,47.2036661365211,43.44384454738498,44.335101616343856,47.021944110006096,55.25873269060552,63.21155686987042,74.56172886815071,75.66914256354569,77.86876442490815,79.30664774475693,80.7286153868258,83.49482170584797,87.56670982363222,91.91436335722803,93.15595331779122,92.34668040768503,86.91401513126492,80.15584086598753,70.17583365589975,66.09576933810114,62.40549291889667,59.40757506621181,56.67234184859097
12,"[1, 2, 10, 11, 12]",3,1,30,20,28,260.988,13.371,16.155,69.15241873807906,56.50400061202049,73.28252762800454,61.26457882943451,77.00547466900348,66.33911477271317,79.18484780836104,68.7398263429284,77.68713354042768,67.52941075575947,70.17955149139165,71.05155290676355,65.71972869638203,75.1954318390727,62.60298251738548,79.25834626404045,60.69828108942508,82.73498195672035,59.372732225927706,84.97542785438299,58.43578831336796,83.84465141746996,60.07999821147024,80.54913013774156,63.97778415658473,75.62777167503833,69.59953877397776,69.62500537745952
13,"[1, 2, 10, 11, 12]",4,1,30,20,28,270.012,13.938,16.432,64.76172717626095,63.1510081782639,65.17020298951864,62.70856296921968,60.63334998499155,57.61726258796453,59.98235471180975,59.40588703978061,65.92664390027522,66.47755952316523,78.5898612141907,62.15647009505033,70.5553414925158,65.03478871171474,68.68497402848004,68.07180839600562,71.10661408837437,67.98005874791144,71.12831728534698,65.08292689628601,69.79472703609466,55.19006286396384,75.26912017399071,59.54549764875769,70.94142674595713,63.39436500563025,67.6244339219272,62.92608102979659
14,"[1, 2, 10, 11, 12]",5,1,30,20,28,110.377,8.526,10.506,54.13533116331994,60.85979236978292,67.4592693650186,74.32055565202832,81.43703963572382,86.12024396219849,87.8932451502621,83.5580514923036,76.53875529809594,65.04948916236758,57.83084635071754,53.91571113957166,57.28851706699729,64.04056962562203,72.17795072843431,80.17466169611811,86.87081000931262,89.7504387927234,88.41489658489822,81.51245587171316,72.43314462753534,62.74457926319837,57.29159690824747,56.70623149509728,61.403560938131804,69.32380373884439,78.46390292246937,86.54148725546001
